,Brand,Model,Ram,Rom,Screen_size,Operating System,Processor,Warranty,Price
493,ASUS,Vivobook,16,512,14,Windows 11 Home,,,"26,000 "
494,Samsung,Galaxy,32,,16,Windows 11,,1,"22,000 "
495,HP,AMD,16,512,15.6,Windows 11 Home,512,1,
496,DELL,15,16,512,15.6,Windows 11 Home,512,,"22,000 "
497,Lenovo,IdeaPad,16,512,15.6,Windows 11 Home,512,1,"22,000 "
498,HP,240R,16,512,14,64 bit Windows 11 Home,512,1,
499,ASUS,Vivobook,8,512,15.6,Windows 11,512,1,"22,000 "
500,ASUS,Vivobook,8,512,15.6,Windows 11 Home,512,1,"26,000 "
501,MOTOROLA,Motobook,16,512,14,64 bit Windows 11,512,1,"22,000 "
502,Lenovo,IdeaPad,16,512,14,Windows 11,512,,
503,Lenovo,V,16,512,14,64 bit Windows 11 Home,512,1,
504,Apple,MacBook,24,512,13.6,Mac OS,512,1,"22,000 "
505,DELL,Inspiron,8,,15.6,64 bit Windows 11,,,
506,Samsung,Galaxy,16,512,15.6,64 bit Windows 11,512,1,"22,000 "
507,Acer,Chromebook,8,,15.6,Chrome,128,1,"11,000 "
508,ASUS,Vivobook,8,512,15.6,Windows 11,512,1,"26,000 "
